timestamp,latitude,longitude
2026/02/27 11:41:25.000+00,-25.3859566,-51.4967494
2026/02/27 11:41:29.000+00,-25.3859365,-51.4967441
2026/02/27 11:41:34.000+00,-25.3859056,-51.4967194
2026/02/27 11:41:37.000+00,-25.3858846,-51.4967042
2026/02/27 11:41:41.000+00,-25.3858675,-51.4966949
2026/02/27 11:41:46.000+00,-25.3858373,-51.4966767
2026/02/27 11:41:51.000+00,-25.3858045,-51.4966591
2026/02/27 11:41:55.000+00,-25.3857765,-51.4966368
2026/02/27 11:41:58.000+00,-25.38576,-51.4966272
2026/02/27 11:42:02.000+00,-25.3857358,-51.4966166
2026/02/27 11:42:06.000+00,-25.3857054,-51.4966087
2026/02/27 11:42:11.000+00,-25.3856869,-51.4965978
2026/02/27 11:42:16.000+00,-25.3856587,-51.4965772
2026/02/27 11:42:17.000+00,-25.385639,-51.4965588
2026/02/27 11:42:22.000+00,-25.3856044,-51.4965342
2026/02/27 11:42:26.000+00,-25.3855745,-51.4965177
2026/02/27 11:42:31.000+00,-25.3855425,-51.4965045
2026/02/27 11:42:35.000+00,-25.3855139,-51.4964917
2026/02/27 11:42:39.000+00,-25.3854839,-51.496475
2026/02/27 11:42:43.000+00,-25.3854549,-51.496457
2026/02/27 11:42:48.000+00,-25.3854252,-51.4964389
2026/02/27 11:42:52.000+00,-25.3854125,-51.4964279
2026/02/27 11:42:57.000+00,-25.3854075,-51.4964198
2026/02/27 11:43:02.000+00,-25.3854025,-51.4964199
2026/02/27 11:43:07.000+00,-25.3853951,-51.4964186
2026/02/27 11:43:12.000+00,-25.3853857,-51.4964126
2026/02/27 11:43:17.000+00,-25.3853843,-51.4964094
2026/02/27 11:43:22.000+00,-25.3853858,-51.4964082
2026/02/27 11:43:26.000+00,-25.3853842,-51.4964109
2026/02/27 11:43:31.000+00,-25.3853786,-51.4964089
2026/02/27 11:43:36.000+00,-25.3853677,-51.4964019
2026/02/27 11:43:41.000+00,-25.3853616,-51.4963973
2026/02/27 11:43:46.000+00,-25.3853509,-51.4963945
2026/02/27 11:43:51.000+00,-25.3853477,-51.4963965
2026/02/27 11:43:55.000+00,-25.3853388,-51.49639
2026/02/27 11:44:00.000+00,-25.3853342,-51.4963885
2026/02/27 11:44:04.000+00,-25.3853238,-51.4963894
2026/02/27 11:44:09.000+00,-25.3853239,-51.4963899
2026/02/27 11:44:13.000+00,-25.3853186,-51.4963971
2026/02/27 11:44:18.000+00,-25.3853101,-51.4964179
2026/02/27 11:44:22.000+00,-25.3853195,-51.496419
2026/02/27 11:44:27.000+00,-25.3853364,-51.4963874
2026/02/27 11:44:31.000+00,-25.3853303,-51.4963866
2026/02/27 11:44:36.000+00,-25.3853267,-51.4963842
2026/02/27 11:44:40.000+00,-25.3853253,-51.4963877
2026/02/27 11:44:45.000+00,-25.3853191,-51.4963914
2026/02/27 11:44:50.000+00,-25.3853176,-51.4963926
2026/02/27 11:44:55.000+00,-25.3853179,-51.4963915
2026/02/27 11:44:59.000+00,-25.385298,-51.4964303
2026/02/27 11:45:03.000+00,-25.3852809,-51.4964627
2026/02/27 11:45:08.000+00,-25.3852946,-51.4964877
2026/02/27 11:45:13.000+00,-25.3852995,-51.4964837
2026/02/27 11:45:18.000+00,-25.3852987,-51.4964814
2026/02/27 11:45:22.000+00,-25.3853036,-51.4964808
2026/02/27 11:45:26.000+00,-25.3853105,-51.4964821
2026/02/27 11:45:30.000+00,-25.3853199,-51.4964911
2026/02/27 11:45:35.000+00,-25.3853262,-51.4965038
2026/02/27 11:45:39.000+00,-25.3853316,-51.4965062
2026/02/27 11:45:43.000+00,-25.3853429,-51.496513
2026/02/27 11:45:48.000+00,-25.3853438,-51.496511
2026/02/27 11:45:52.000+00,-25.3853469,-51.4965159
